 , C00, C05, C17, C26, C31, C32, C34, C36, C37, C39, C41
Time(s)/Cell Status, undecided, undecided, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
13.8,0.08855623,0.1648074,0.4331812,0.3850828,0.5771221,0,0.07851138,0.1856732,0.7732674,0,0.2580974
13.9,0.08468379,0.1576806,0.4150869,0.406587,0.5632603,0,0.09043411,0.2039245,0.7415647,0,0.2476159
14,0.115523,0.1672864,0.4590545,0.3899089,0.540158,0,0.08677834,0.1955397,0.8001758,0,0.23756
14.1,0.1104713,0.1600524,0.4398794,0.3739149,0.5611601,0,0.1075384,0.1874997,0.7673699,0,0.2279125
14.2,0.1056405,0.1750214,0.4215054,0.4047507,0.5583459,0,0.1031912,0.1797903,0.793369,0,0.2186568
14.3,0.101021,0.1674529,0.4038987,0.3881479,0.5508854,0,0.09901975,0.1723978,0.7608421,0,0.2264214
14.4,0.0966035,0.1602117,0.3870276,0.3722262,0.5286624,0,0.1060151,0.1653093,0.7296488,0,0.2528318
14.5,0.09237916,0.1532836,0.388923,0.3569575,0.5234743,0,0.1403963,0.1585123,0.6997343,0,0.2425642
14.6,0.08833954,0.1480715,0.4452424,0.3983133,0.5339534,0,0.1347208,0.1519948,0.6710464,0,0.2327135
14.7,0.08447658,0.1722882,0.4266442,0.3819746,0.6215611,0,0.2154585,0.1457452,0.6833292,0,0.2232628
14.8,0.08078253,0.1694953,0.408823,0.3663061,0.6221461,0,0.2627826,0.1397526,0.6659964,0,0.2141959
14.9,0.07725003,0.1621658,0.4177648,0.3512803,0.5966286,0,0.3810963,0.2114518,0.6737251,0,0.2194371
15,0.07387199,0.1551532,0.4003145,0.3446867,0.5721577,0,0.3656906,0.2027575,0.6461035,0,0.2812013
15.1,0.09049091,0.1484438,0.383593,0.3550222,0.5785099,0,0.3509077,0.1948521,0.6907567,0,0.2697815
15.2,0.08653387,0.1420246,0.389636,0.3404593,0.5547821,0,0.4003476,0.2472985,0.6624368,0,0.2911761
15.3,0.08274986,0.1579918,0.4665187,0.3264937,0.5320275,0,0.4588977,0.2371303,0.635278,0,0.2793512
15.4,0.07913131,0.1511597,0.4470319,0.3394639,0.5459384,0,0.5343634,0.2273802,0.6835933,0,0.2680065
15.5,0.07567102,0.1446231,0.428359,0.348956,0.5384516,0,0.5468768,0.218031,0.6555671,0,0.2797716
15.6,0.07236202,0.1383691,0.4860247,0.3346418,0.6019853,0,0.5247695,0.2279483,0.7002673,0,0.3066615
